Date,Open,High,Low,Close,High_Last_22_Days,Low_Last_22_Days,Days_Since_High_Last_22_Days,Days_Since_Low_Last_22_Days,%_Diff_From_High_Last_22_Days,%_Diff_From_Low_Last_22_Days,High_Next_6_Days,%_Diff_From_High_Next_6_Days,Low_Next_6_Days,%_Diff_From_Low_Next_6_Days
2021-01-04,31340.03,31527.44,30600.01,31004.54,33872.26,27734.0,1,0,-8.466278896064217,11.792529025744576,32054.24,-3.2747617787849617,30884.42,0.388933967353127
2021-01-04,31016.44,31448.0,31000.58,31172.41,33872.26,27734.0,1,0,-7.97068161380434,12.39781495637124,32874.39,-5.177221539319816,30884.42,0.9324766338496939
2021-01-04,31179.5,31887.58,31118.69,31678.62,33687.71,27734.0,1,0,-5.963866347697722,14.223047522896081,32874.39,-3.6373906861845966,30884.42,2.571523117481244
2021-01-04,31686.83,31862.61,31219.68,31259.37,33669.76,27734.0,1,0,-7.158916487673221,12.711365111415587,32874.39,-4.912699520812403,30884.42,1.214042549609158
2021-01-04,31285.8,31596.24,30884.42,31025.39,33669.76,27734.0,1,0,-7.853842736033766,11.86770750703108,32874.39,-5.624438962973914,30974.37,0.16471682878457394
2021-01-04,31047.62,31490.0,30974.37,31360.23,33669.76,27734.0,1,0,-6.859359852876891,13.075034253984278,32874.39,-4.60589534893271,30450.0,2.989261083743841
2021-01-04,31379.44,32054.24,31168.98,32005.88,33669.76,27734.0,1,0,-4.941763766655898,15.403043196077022,32874.39,-2.641904534198196,30044.16,6.529455308452628
2021-01-05,32054.23,32874.39,32047.68,32489.99,33669.76,27734.0,2,1,-3.5039453800680507,17.148590178120724,32850.0,-1.0959208523592037,29936.26,8.530557925405523
2021-01-05,32468.92,32825.0,32285.73,32811.75,33669.76,27734.0,2,1,-2.54831041266704,18.308754597245258,32850.0,-0.11643835616438356,29936.26,9.605374886508875
2021-01-05,32824.75,32850.0,32281.89,32346.97,33468.46,27734.0,2,1,-3.3508861776131855,16.632905459003393,32578.35,-0.7102262699000944,29936.26,8.052809535994152
2021-01-05,32361.51,32578.35,31182.16,31183.83,33468.46,27734.0,2,1,-6.826217877966292,12.43899185115743,31810.0,-1.9684690348946816,29936.26,4.167421047251739
2021-01-05,31188.58,31558.37,30450.0,30882.16,33300.0,27734.0,2,1,-7.260780780780782,11.351265594577054,31810.0,-2.9168186104998433,29936.26,3.1597133376046354
2021-01-05,30866.09,31369.7,30044.16,30428.92,32874.39,27734.0,2,1,-7.438830043690549,9.717026033028047,31817.0,-4.3626991859697695,29936.26,1.6456965566172925
2021-01-05,30456.11,31294.55,29936.26,31140.41,32874.39,27734.0,2,1,-5.274561748522177,12.28243311458859,32093.94,-2.9710593339427906,30773.5,1.1922920694753598
2021-01-05,31158.09,31332.1,30773.5,30838.53,32874.39,27734.0,2,1,-6.192844947084952,11.193949664671518,32093.94,-3.9116730448178068,30820.66,0.057980588345606425
2021-01-05,30820.66,31551.02,30820.66,31200.34,32874.39,29402.55,2,1,-5.09226178797538,6.114401642034452,32424.15,-3.7743780484607963,31126.65,0.23674246987709469
2021-01-05,31201.91,31810.0,31198.13,31573.13,32874.39,29936.26,2,1,-3.958278769583248,5.467850693440004,32440.98,-2.6751657933884814,31126.65,1.4343978552140997
2021-01-05,31588.59,31698.84,31126.65,31353.33,32874.39,29936.26,2,1,-4.626884331541962,4.733624039876736,32749.89,-4.264319666417194,31153.24,0.6422766941737044
2021-01-05,31376.63,31817.0,31306.17,31810.58,32874.39,29936.26,2,1,-3.2359839984863523,6.261035947710246,32899.8,-3.310719214098569,31153.24,2.1100213011551934
2021-01-05,31820.0,32093.94,31609.42,31636.17,32874.39,29936.26,2,1,-3.766518557454606,5.678431440667605,33518.77,-5.616554545408435,31153.24,1.5501758404583172
2021-01-05,31639.12,31939.12,31479.42,31498.0,32874.39,29936.26,2,1,-4.18681532950117,5.216884139835776,34297.31,-8.16189374618592,31153.24,1.1066585690605484
2021-01-05,31551.66,32424.15,31153.24,32375.62,32874.39,29936.26,2,1,-1.517199254495674,8.148512873685625,34297.31,-5.603034173817127,31830.89,1.7113250681963326
2021-01-05,32418.59,32440.98,31977.47,32156.58,32874.39,29936.26,2,1,-2.1834929864858257,7.4168249474049315,34297.31,-6.241684843505208,31830.89,1.023188481377688
2021-01-05,32169.78,32749.89,31830.89,32535.26,32874.39,29936.26,2,1,-1.0315932858373982,8.681779220249958,34500.0,-5.694898550724643,32324.47,0.6521065929309814
2021-01-05,32552.44,32899.8,32324.47,32828.65,32899.8,29936.26,0,1,-0.21626271284324355,9.661828164239632,34500.0,-4.844492753623184,32737.97,0.2769872414202844
2021-01-05,32825.82,33518.77,32737.97,33467.68,33518.77,29936.26,0,1,-0.15242206083336743,11.796463552895393,34500.0,-2.9922318840579702,33220.0,0.745574954846479
2021-01-05,33499.99,34297.31,33220.0,33809.17,34297.31,29936.26,0,1,-1.4232603081699393,12.937187210426421,34500.0,-2.0024057971014546,33348.27,1.3820806896429754
2021-01-05,33791.11,34131.68,33468.46,34085.71,34297.31,29936.26,0,1,-0.6169580063276057,13.860949898217081,34500.0,-1.2008405797101476,33348.27,2.2113291034287608
2021-01-05,34053.06,34100.0,33589.1,33801.24,34297.31,29936.26,0,1,-1.4463816550044295,12.91069759549122,34500.0,-2.025391304347832,33348.27,1.358301345167234
2021-01-05,33820.36,34500.0,33812.68,34290.52,34500.0,29936.26,0,1,-0.6071884057971108,14.545103496562358,35879.35,-4.4282574795808785,33348.27,2.8254839006641124
2021-01-05,34317.84,34396.9,33791.11,34039.05,34500.0,29936.26,0,1,-1.3360869565217306,13.70508540479006,35879.35,-5.129134167703695,33348.27,2.0714118003722715
2021-01-06,34081.24,34198.8,33348.27,33976.41,34500.0,29936.26,1,2,-1.5176521739130333,13.495840829816435,35879.35,-5.303719270276622,33580.69,1.1784153333359175
2021-01-06,33993.73,34068.43,33580.69,33864.14,34500.0,29936.26,1,2,-1.8430724637681177,13.12081068242994,35879.35,-5.616629063792959,33750.0,0.3381925925925908
2021-01-06,33887.37,34194.87,33863.94,33965.72,34500.0,29936.26,1,2,-1.548637681159417,13.46013162632875,35879.35,-5.33351356699605,33750.0,0.6391703703703738
2021-01-06,33965.86,34239.84,33750.0,34222.39,34500.0,29936.26,1,2,-0.8046666666666683,14.317519957402833,35879.35,-4.618143862695392,33710.16,1.5195122182748342
2021-01-06,34209.27,35879.35,34202.12,35458.5,35879.35,30773.5,0,2,-1.1729588189306621,15.224137650900937,35707.64,-0.6977218320785116,33710.16,5.186388910642953
2021-01-06,35488.64,35707.64,34652.95,35124.2,35879.35,30820.66,0,2,-2.104692532055351,13.96316626574511,35400.0,-0.7790960451977483,33710.16,4.194699758173778
2021-01-06,35099.92,35366.69,34907.82,35282.56,35879.35,31126.65,0,2,-1.663324447070532,13.351613488762831,35400.0,-0.3317514124293851,33710.16,4.664469109609667
2021-01-06,35259.06,35400.0,34487.11,34808.72,35879.35,31126.65,0,2,-2.9839726750902607,11.829316678794537,35366.69,-1.5776709666638329,33710.16,3.2588394715421036
2021-01-06,34792.26,35054.29,34081.47,34671.73,35879.35,31153.24,0,2,-3.3657800378211853,11.294138266196393,35366.69,-1.9650128411790844,33710.16,2.852463470953563
2021-01-06,34674.45,34674.45,33710.16,34000.0,35879.35,31153.24,0,2,-5.23797114496221,9.137925942855377,35366.69,-3.864342408068163,33934.61,0.19269412555499948
2021-01-06,33993.24,34652.95,33934.61,34534.83,35879.35,31153.24,0,2,-3.7473365598875032,10.854697617326481,35366.69,-2.352100238953661,34174.11,1.0555359013007248
2021-01-06,34521.22,35366.69,34446.26,35040.81,35879.35,31153.24,0,2,-2.3371103434148077,12.478862551696054,35195.57,-0.4397144299694593,34174.11,2.5361304215384015
2021-01-06,35040.81,35178.21,34537.64,35024.11,35879.35,31830.89,0,2,-2.383655222293598,10.031827573781321,35366.69,-0.9686515758189465,34174.11,2.4872630187004137
2021-01-06,35037.65,35183.92,34227.67,34666.86,35879.35,31830.89,0,2,-3.3793533048954285,8.909490121074217,35850.0,-3.300251046025103,34174.11,1.4418810028995634
2021-01-06,34662.63,34736.16,34174.11,34344.66,35879.35,32324.47,0,2,-4.277362884221691,6.249723506680859,36355.81,-5.531853093081943,34269.52,0.21926189803652546
2021-01-06,34321.72,34911.55,34269.52,34664.93,35879.35,32737.97,0,2,-3.3847324435922004,5.886009425752419,36574.47,-5.2209642409035615,34341.0,0.943274802713958
2021-01-06,34672.69,35155.25,34457.16,34697.24,35879.35,33220.0,0,2,-3.294680644994964,4.446839253461763,36574.47,-5.132623931392589,34341.0,1.0373605893829474
2021-01-06,34700.0,35195.57,34645.7,35021.84,35879.35,33348.27,0,2,-2.3899819812789307,5.018461227523946,37050.83,-5.476233595846584,34341.0,1.9825864127427755
2021-01-06,35050.97,35366.69,35049.47,35347.64,35879.35,33348.27,0,2,-1.4819387753680018,5.995423450751726,37400.0,-5.487593582887702,34341.0,2.931306601438512
2021-01-06,35347.63,35850.0,34781.73,34933.57,35879.35,33348.27,0,2,-2.6360009308975743,4.753769835736615,37400.0,-6.5947326203208565,34341.0,1.725546722576511
2021-01-06,34971.34,36355.81,34341.0,36112.62,36355.81,33348.27,0,2,-0.6689164675467142,8.289335548740628,37400.0,-3.4421925133689766,35750.49,1.012937165336768
2021-01-06,36150.0,36574.47,35750.49,35960.19,36574.47,33348.27,0,2,-1.6795321982792883,7.832250368609843,37785.04,-4.829556882829814,35773.95,0.5206022818279928
